address,index,amount
0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0,10000000000000000000
0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,1,20000000000000000000
0x90F79bf6EB2c4f870365E785982E1f101E93b906,2,30000000000000000000
0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,3,40000000000000000000
0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,4,50000000000000000000
0x976EA74026E726554dB657fA54763abd0C3a0aa9,5,60000000000000000000
0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,6,70000000000000000000
0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,7,80000000000000000000
0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,8,40000000000000000000
